Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Training Stress Score®,Grit,Flow,Züge insgesamt,Ø Swolf,Ø Schlagrate,Tauchzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Laufen,2022-01-27 15:41:25,false,"Bamberg Laufen","9.08","622","00:49:35","142","168","3.1","163","216","5:28","3:42","13","14","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","00:25.62","10","0.0","00:49:31","00:53:07","232","247"
Laufen,2022-01-25 17:40:10,false,"Bamberg Laufen","5.02","383","00:26:05","145","163","3.1","164","179","5:12","4:25","19","18","1.18","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","00:07.36","6","0.0","00:26:04","00:26:36","232","247"
Laufen,2022-01-23 10:30:20,false,"Nürnberg Laufen","18.50","1,219","01:30:51","147","156","3.3","167","177","4:55","3:51","56","59","1.22","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","02:37.67","19","0.0","01:30:47","01:32:48","298","322"
Schwimmbadschwimmen,2022-01-22 16:42:25,false,"Schwimmbadschwimmen","4,225","1,043","01:42:05","--","--","--","--","--","1:42","0:51","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1944","37","27","0:00","0.0","0:00","Nein","00:08.19","39","0.0","01:12:00","01:42:16","--","--"
Schwimmbadschwimmen,2022-01-20 20:07:50,false,"Schwimmbadschwimmen","2,750","678","01:17:07","--","--","--","--","--","1:31","1:10","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1198","34","29","0:00","0.0","0:00","Nein","00:01.01","37","0.0","00:41:29","01:17:27","--","--"
Laufen,2022-01-20 16:56:18,false,"Nürnberg Laufen","11.50","799","00:57:27","148","165","3.3","166","178","5:00","4:09","53","50","1.21","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","02:24.49","12","0.0","00:57:18","01:01:56","297","319"
Laufen,2022-01-16 10:39:54,false,"Bamberg Laufen","20.04","1,367","01:36:25","153","171","4.0","168","177","4:49","4:18","52","55","1.24","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","00:10.64","21","0.0","01:36:21","01:36:25","227","255"
Laufen,2022-01-12 15:24:01,false,"Bamberg Laufen","7.76","579","00:42:51","146","172","3.0","162","199","5:31","4:50","28","26","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","03:58.71","8","0.0","00:42:50","00:43:16","234","253"
Laufen,2022-01-11 19:13:19,false,"Bamberg Laufen","6.43","351","00:30:01","133","160","3.0","166","172","4:40","4:04","13","11","1.29","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","02:34.12","7","0.0","00:30:00","00:30:01","226","245"
Schwimmbadschwimmen,2022-01-08 17:32:43,false,"Schwimmbadschwimmen","2,100","504","00:52:12","--","--","--","--","--","1:50","1:15","--","--","0.00","0.0","0.0","0.0","0.0","0.0","871","33","27","0:00","0.0","0:00","Nein","00:10.68","50","0.0","00:38:29","00:52:21","--","--"
Laufen,2022-01-07 08:30:00,false,"Bamberg Laufen","4.30","402","00:24:29","162","176","3.5","164","219","5:42","3:30","6","4","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","01:43.66","5","0.0","00:24:28","00:30:31","232","245"
Laufen,2021-12-29 07:59:33,false,"Bamberg Laufen","4.74","303","00:27:10","127","147","2.1","162","195","5:44","4:02","20","20","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","04:05.68","5","0.0","00:26:45","00:29:57","226","248"
Schwimmbadschwimmen,2021-12-26 14:39:45,false,"Schwimmbadschwimmen","1,900","468","00:53:07","--","--","--","--","--","1:52","0:52","--","--","0.00","0.0","0.0","0.0","0.0","0.0","876","40","25","0:00","0.0","0:00","Nein","00:39.72","13","0.0","00:35:33","00:53:30","--","--"
Laufen,2021-12-22 19:08:52,false,"Nürnberg Laufen","8.50","683","00:42:39","156","179","4.0","167","174","5:01","3:58","34","32","1.20","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","02:29.02","9","0.0","00:42:22","00:42:39","298","318"
Laufen,2021-12-22 17:18:11,false,"Nürnberg Laufen","1.11","340","00:42:13","113","165","2.0","131","171","38:08","4:19","5","4","0.20","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","02:23.65","3","0.0","00:10:58","00:42:13","313","319"
Laufen,2021-12-17 14:11:27,false,"Erlangen Laufen","13.37","753","01:06:49","142","185","3.0","166","173","5:00","4:23","54","53","1.21","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","01:45.52","14","0.0","01:06:40","01:09:28","277","314"
Schwimmbadschwimmen,2021-12-16 20:02:44,false,"Schwimmbadschwimmen","2,725","664","01:26:36","--","--","--","--","--","1:50","0:56","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1141","36","26","0:00","0.0","0:00","Nein","00:02.19","17","0.0","00:50:03","01:26:52","--","--"
Laufen,2021-12-15 17:30:33,false,"Erlangen Laufen","9.77","599","00:52:09","133","163","2.3","165","172","5:20","4:11","68","63","1.14","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","03:37.87","10","0.0","00:51:19","00:53:03","268","308"
Laufen,2021-12-14 19:51:30,false,"Erlangen Laufen","6.21","428","00:27:40","152","174","3.4","168","247","4:27","3:49","26","26","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","00:51.95","7","0.0","00:27:40","00:27:40","265","287"
Laufen,2021-12-12 09:24:51,false,"Erlangen Laufen","6.65","380","00:37:10","125","154","1.9","164","168","5:35","4:08","28","28","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nein","03:39.66","7","0.0","00:37:08","00:40:06","265","294"
